concurrency, throughput, mean latency, p90 latency, max latency
10, 7661, 1, 2, 11
20, 8355, 2, 4, 35
30, 8591, 3, 6, 62
40, 8676, 4, 8, 85
50, 8881, 5, 9, 66
60, 8964, 7, 10, 80
70, 9004, 8, 12, 105
80, 9064, 9, 13, 102
90, 9116, 10, 15, 102
100, 9106, 11, 16, 77
