concurrency, throughput, mean latency, p90 latency, max latency
10, 876, 11, 13, 23
20, 878, 23, 27, 43
30, 878, 34, 41, 70
40, 875, 46, 54, 77
50, 875, 57, 64, 90
60, 875, 68, 75, 104
70, 876, 80, 89, 116
80, 876, 91, 98, 141
90, 876, 102, 110, 148
100, 875, 113, 125, 173
