concurrency, throughput, mean latency, p90 latency, max latency
10, 12611, 1, 1, 9
20, 18598, 1, 1, 12
30, 20018, 1, 1, 13
40, 20587, 1, 2, 14
50, 21269, 1, 2, 14
60, 21266, 2, 2, 17
70, 20519, 2, 4, 17
80, 21307, 2, 3, 18
90, 21353, 2, 4, 17
100, 18074, 4, 10, 48
