concurrency, throughput, mean latency, p90 latency, max latency
10, 792, 13, 15, 25
20, 792, 25, 28, 39
30, 791, 38, 41, 57
40, 790, 50, 56, 74
50, 791, 63, 66, 84
60, 792, 75, 85, 106
70, 794, 87, 95, 137
80, 794, 100, 108, 137
90, 793, 113, 120, 160
100, 792, 125, 132, 169
