concurrency, throughput, mean latency, p90 latency, max latency
10, 204, 48, 69, 179
20, 599, 33, 69, 187
30, 1032, 29, 53, 204
40, 1019, 39, 52, 161
50, 1021, 49, 65, 186
60, 1019, 58, 96, 317
70, 1010, 69, 104, 193
80, 1015, 78, 98, 267
90, 1011, 88, 108, 210
100, 999, 99, 119, 273
