concurrency, throughput, mean latency, p90 latency, max latency
10, 242, 41, 84, 188
20, 659, 30, 42, 207
30, 937, 32, 44, 183
40, 1074, 37, 51, 292
50, 1055, 47, 66, 465
60, 1017, 59, 82, 571
70, 1016, 68, 96, 661
80, 1017, 78, 119, 655
90, 1033, 86, 116, 477
100, 910, 109, 166, 2296
