concurrency, throughput, mean latency, p90 latency, max latency
10, 157, 63, 123, 248
20, 483, 41, 53, 173
30, 567, 53, 69, 202
40, 504, 79, 113, 651
50, 506, 98, 138, 683
60, 531, 112, 157, 397
70, 545, 127, 164, 816
80, 492, 161, 231, 1476
90, 516, 173, 232, 863
100, 511, 193, 259, 898
