concurrency, throughput, mean latency, p90 latency, max latency
10, 763, 13, 26, 72
20, 766, 26, 50, 98
30, 767, 39, 68, 161
40, 768, 52, 82, 158
50, 770, 65, 98, 202
60, 771, 77, 110, 192
70, 771, 90, 125, 225
80, 770, 103, 138, 235
90, 770, 116, 152, 258
100, 769, 129, 165, 260
