concurrency, throughput, mean latency, p90 latency, max latency
10, 9936, 1, 1, 12
20, 11670, 2, 2, 14
30, 11510, 2, 3, 12
40, 11583, 3, 4, 17
50, 11626, 4, 5, 19
60, 11711, 5, 6, 20
70, 11929, 6, 6, 19
80, 11881, 6, 7, 22
90, 11920, 7, 8, 21
100, 11838, 8, 9, 25
