concurrency, throughput, mean latency, p90 latency, max latency
10, 837, 12, 19, 38
20, 834, 24, 40, 97
30, 834, 36, 58, 120
40, 832, 48, 77, 160
50, 832, 60, 91, 219
60, 832, 72, 105, 202
70, 832, 84, 116, 213
80, 833, 95, 130, 222
90, 832, 108, 144, 280
100, 832, 119, 156, 237
